x,y
66,237
69,283
74,330
82,377
100,419
132,452
176,472
223,488
271,489
315,480
347,456
374,428
391,393
401,354
405,311
405,271
404,233
120,191
142,169
175,158
210,161
241,175
286,176
313,165
342,163
369,169
384,189
265,209
269,238
272,267
276,298
235,327
254,330
272,334
286,330
300,326
154,214
173,203
195,203
216,219
195,224
172,224
298,219
318,205
339,205
354,216
340,225
319,225
208,395
235,380
256,372
270,375
283,371
299,379
315,392
299,393
284,392
271,394
256,394
235,396
217,392
256,387
270,387
283,386
305,390
283,375
270,376
256,376
0,0
0,255
255,0
511,255
255,511
511,511
0,511
511,0
