x,y
125,231
126,269
132,306
141,344
156,381
176,415
200,444
226,470
260,479
299,477
341,455
381,428
412,393
434,353
442,308
445,262
444,215
129,192
143,171
170,164
200,168
229,178
261,175
293,162
329,158
363,165
390,184
243,212
242,246
239,280
237,316
213,327
227,337
244,344
265,337
284,328
160,214
174,204
195,204
214,219
194,224
173,224
295,220
316,205
339,203
359,214
341,225
318,225
208,383
221,378
235,376
249,381
263,377
284,381
310,387
284,397
264,400
250,399
236,396
222,391
216,384
235,385
249,389
263,388
300,387
263,383
250,383
235,379
0,0
0,255
255,0
511,255
255,511
511,511
0,511
511,0
